symbol,pre_quarters,baseline_liab_ratio,HL67
TDC,8,0.5741088608154675,1
TDG,8,0.4102424348494915,0
TDH,8,0.36389704899775766,0
TDM,8,0.11834584976270504,0
TDT,8,0.51481010295952,1
TDW,8,0.37751101489884453,0
TEG,8,0.1403110323006724,0
TET,8,0.06756696797691143,0
TFC,8,0.46316802659171175,0
THB,8,0.5319476532763228,1
THG,8,0.5357996506566984,1
THS,8,0.5066450292769117,1
THT,8,0.6260795445665607,1
TIG,8,0.1297986582550147,0
TIP,8,0.16401137472101737,0
TIX,8,0.08990186371022171,0
TJC,8,0.15951714719762072,0
TKU,8,0.4557227479192745,0
TLD,8,0.31729929670749957,0
TLG,8,0.24608532420961143,0
TLH,8,0.49213308427358204,1
TMB,8,0.831669774643522,1
TMC,8,0.3968385847417176,0
TMP,8,0.07847353505582833,0
TMS,8,0.23573425686026434,0
TMT,8,0.7463080190026263,1
TMX,8,0.4072248647235763,0
TN1,6,0.29627501220102104,0
TNC,8,0.053313841035537726,0
TNG,8,0.5826087722936867,1
TNI,8,0.37137579967750367,0
TNT,8,0.23331362734901898,0
TPC,8,0.4925527112315027,1
TPP,8,0.5565989403029517,1
TRA,8,0.1912108532518627,0
TRC,8,0.04731744317934565,0
TSB,8,0.4461733406417151,0
TSC,8,0.07733588805401717,0
TTC,8,0.4809521173593834,1
TTE,7,0.08427786779850004,0
TTF,8,0.7515431275437913,1
TTH,8,0.19100669365778278,0
TTL,8,0.533324397023991,1
TTT,8,0.06427617930044442,0
TV2,8,0.5012536222042869,1
TV3,8,0.6019967877213233,1
TV4,8,0.33144084360371673,0
TVC,8,0.5360236397627296,1
TVD,8,0.30781961071245856,0
TVS,8,0.6286605131906007,1
TVT,8,0.53111734702464,1
TXM,8,0.25962674217641923,0
TYA,8,0.4997163344628155,1
UIC,8,0.3780719824345201,0
UNI,8,0.06147704546105446,0
V12,8,0.864651914785724,1
V21,8,0.6885009601879779,1
VBC,8,0.6929866171453696,1
VC1,8,0.7287870849824105,1
VC2,8,0.859335506686133,1
VC3,8,0.3473356797756895,0
VC6,8,0.8459960293801785,1
VC7,8,0.465467877431482,0
VC9,8,0.8174555555747405,1
VCC,8,0.7915504968481404,1
VCF,8,0.36782391192325903,0
VCI,8,0.4268192961809374,0
VCM,8,0.49184015497544975,1
VCS,8,0.3394466298391723,0
VDL,8,0.16033663421935895,0
VDP,8,0.3503141470996778,0
VDS,8,0.49013435919547765,1
VE1,8,0.09608535630769671,0
VE3,8,0.5569736126760945,1
