symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
DS3,-0.8095661366201433,-0.7655103843760306,-0.8224822818586912,-0.3422172264009143,-0.6375593443163893,0,0,0,1,0,0,0,0,0,-1.575076520996174,0,0
DST,-0.695504520557054,-0.7037542836963679,-0.8217027055805535,-0.0766335455216114,-0.6227604133295283,0,0,0,1,0,0,0,0,0,-1.399258804253422,0,0
DTA,0.5355639145888302,0.6299844563732247,0.6063999562791755,0.1610047598153547,-0.589073376410644,1,1,1,1,0,1,0,0,0,1.165548370962055,1,0
DTC,-0.2401615998910419,-0.6874440031884485,-0.7003175022725772,-0.3297817290258408,-0.6188517676334749,0,0,0,1,0,0,0,0,0,-0.9276056030794904,0,0
DTD,-0.573339568868743,-0.5790930893701857,-0.7900949825891407,0.0806750576986318,-0.6426689742110402,0,0,0,1,0,0,0,0,0,-1.1524326582389288,0,0
DTK,-1.0407201978389977,-0.8357822353284522,-0.8745024446519419,-0.3447828325083358,-0.6470850822624404,0,0,0,1,0,0,0,0,0,-1.8765024331674498,0,0
DTT,0.8529005675415079,0.2420663335065484,0.2277900258268649,0.0680350335353145,-0.6370487262635714,1,1,1,1,0,1,0,0,1,1.0949669010480563,1,0
DVP,-0.313258587511106,-0.5623299563627307,-0.6905852046276952,-0.0413238940703052,-0.4972014504634459,0,0,0,1,0,0,0,0,0,-0.8755885438738366,0,0
DXG,1.603982276398859,1.5277314781648608,0.196958088685414,2.207567739348592,-0.6319113967427284,1,1,1,1,0,1,0,1,1,3.13171375456372,1,1
DXS,0.9019489982156494,0.745082867598384,0.0969645939909867,1.0335170237244738,-0.6473139677856243,1,1,1,1,0,1,0,1,1,1.6470318658140334,1,1
DXV,-0.4548973626322889,-0.5949572350896185,-0.729611998049645,-0.0395811066859017,-0.6391024112678592,0,0,0,1,0,0,0,0,0,-1.0498545977219074,0,0
EIB,0.3712118550535556,-0.571555484932744,-0.891266025663635,0.1270269269292362,-0.6483911621331143,1,0,0,1,0,0,0,0,1,-0.2003436298791884,0,1
EID,-0.5828063564864209,-0.5722347948973766,-0.7667854270646554,0.0364995285622199,-0.6222370325310728,0,0,0,1,0,0,0,0,0,-1.1550411513837975,0,0
ELC,0.7159275279446134,0.1759062992217698,-0.3370443459144451,1.0985648800913492,-0.6342995876581703,1,1,0,1,0,1,0,1,1,0.8918338271663832,1,1
EMC,-0.2613753967382908,-0.6406317797821595,-0.7242522620329661,-0.218866879407978,-0.5205504706764918,0,0,0,1,0,0,0,0,0,-0.9020071765204503,0,0
