symbol,pre_quarters,liab_ratio,nwc_tied_ratio,fixed_ratio,operating_margin,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
EBS,8,0.24707769565809268,0.5959920909668703,0.01932477272817508,0.08785816892221139,0,1,0,0,0
ECI,8,0.306539122481825,0.39133785375727237,0.0027834727838111795,0.07224452981486514,0,0,0,0,0
EID,8,0.45964379796459803,0.5244618597701782,0.008048052179773748,0.07032393374902689,0,1,0,0,0
ELC,8,0.15556683238424057,0.5500986683573247,0.08881537456302288,0.022405334061127692,0,1,0,0,0
EVE,8,0.16521201437287686,0.38033319311473385,0.18294226634299762,0.08040370480921394,0,0,0,0,0
EVG,8,0.14142680779113398,0.3646637941892214,0.003122851429934395,0.041883213923210774,0,0,0,0,0
EVS,8,0.34685687705021573,0.008367726520929316,0.0026727750944944835,,0,0,0,0,0
FCM,8,0.42643027113110243,0.561098220070835,0.2237654378533366,0.06661222934529551,0,1,0,0,0
FCN,8,0.4610194414546522,0.5389363089996015,0.1501565193017225,0.08713962337742628,0,1,0,0,0
FDC,8,0.34263279565044824,0.2595527091452814,0.4227091055917226,0.009737950494731638,0,0,0,0,0
FID,8,0.11960147431269244,0.1820372156010916,1.7138949722963038e-05,0.011228067443297875,0,0,0,0,0
FIR,8,0.4788470106520076,0.7637639439565127,0.07156444978164123,0.35465150985265226,1,1,1,0,0
FIT,8,0.12456303462252805,0.11207068717726065,0.1339177128848829,0.024167093319597363,0,0,0,0,0
FMC,8,0.5174391820935255,0.622295483429002,0.18052527385304887,0.06073773193383762,1,1,1,0,0
FPT,8,0.4702437263893432,0.1916143381912418,0.22084544707891074,0.16369714576446937,0,0,0,0,0
FRT,8,0.7717318520429785,0.5348183045174635,0.009561827330048393,0.021688138358656996,1,1,1,1,0
FTS,8,0.18698814481359852,0.004712277000337703,0.06954064182031632,,0,0,0,0,0
GAS,8,0.19626922984913991,0.15955345367482776,0.29059337442132316,0.19873699636953263,0,0,0,0,0
GDT,8,0.1969554546698693,0.3048683395411296,0.12499746746546311,0.2690021548249051,0,0,0,0,0
GDW,5,0.34286931484107436,-0.11330127609152657,0.5763472229780228,0.04395530580101025,0,0,0,0,0
GEG,8,0.11929663383757348,0.05315453012189869,0.6530009325053785,0.3253949040416868,0,0,0,0,0
GEX,8,0.37804074970902973,0.228016037133582,0.2478410698841842,0.08433896438862214,0,0,0,0,0
GIL,8,0.5927692048873479,0.40653597104962536,0.0747274223497726,0.08123570167309627,1,0,0,0,0
GKM,8,0.2874510973849584,0.27902705036514874,0.27242322884530507,0.05056361067758334,0,0,0,0,0
GLT,8,0.3313681818521028,0.29577172238157,0.06016461913928604,0.1608443124138175,0,0,0,0,0
GMD,8,0.15310159823297365,0.06817592553784926,0.3340504038989189,0.2873176696680919,0,0,0,0,0
GMX,8,0.3546052630506865,0.2970051750736883,0.39440005953496104,0.11551939645358353,0,0,0,0,0
